No,カテゴリ,心情語・慣用表現,読み,難易度,意味・ニュアンス,入試物語文での代表的な場面・文脈例,小学生がつまずきやすい点・類語との識別ポイント
98,3. 葛藤・戸惑い・もどかしさ,開き直る,ひらきなおる,並,追い詰められて急に態度を変え、居直ってふてぶてしく強気になること。,嘘を追及されて言い逃れができなくなり、「どうせ私がやったわよ、何が悪いの」と反発する場面。,心理の劇的な反転。「反省」ではなく「自己保身やプライドのために逆に攻撃的になる」防衛機制。
99,3. 葛藤・戸惑い・もどかしさ,思いあぐねる,おもいあぐねる,高,どうすればよいかあれこれ考え続けても、良策が浮かばず迷い疲れること。,二人の親友の対立をどう仲裁すべきか、夜通し考えても結論が出ない場面。,「考える」の深化形。「迷いと無力感の中で思考が堂々巡りしている」苦悩。
100,3. 葛藤・戸惑い・もどかしさ,頭を抱える,あたまをかかえる,並,どう対処・解決してよいか分からず困り果てる様子。,予算も時間も足りない中で文化祭の出し物を完成させねばならず、机に突っ伏す場面。,困惑・絶望の身体表現。「打つ手が見出せず途方に暮れる」心理。
101,3. 葛藤・戸惑い・もどかしさ,手をこまねく,てをこまねく,高,手を出さず、なすすべもなくただ傍観していること。,目の前で大切な試合が崩壊していくのを、ベンチから何もできずに見守るしかない場面。,「怠惰」ではなく、「事態の急速な悪化に対して自分の無力さゆえに介入できない」もどかしさ。
102,3. 葛藤・戸惑い・もどかしさ,うわの空,うわのそら,並,心配事や他のことに心を奪われて、目の前のことに集中できない状態。,授業中、放課後に控えた手術の結果が気になり、先生の声が遠くの雑音のように聞こえる場面。,単なる居眠りやサボりではなく、「強い懸念・期待によって意識が別の時空に飛んでいる」心理。
103,4. 怒り・不満・反発,憤慨,ふんがい,高,ひどく腹を立てること。激しい怒り。,身勝手な理由で約束を破った上、悪びれもせず他人のせいにする友人の態度を見る場面。,幼い「怒り」ではなく、「不正や無責任さに対する道義的な強い怒り」。
104,4. 怒り・不満・反発,憤る,いきどおる,中,理不尽なことや不正に対して、激しく怒り恨むこと。,努力した者が報われず、不正をした者が評価される理不尽な選考結果を知った場面。,個人的な我が儘ではなく、「正義感に基づく社会や他者への深い憤り」。
105,4. 怒り・不満・反発,業腹,ごうはら,高,非常に腹が立つこと。たまらなく悔しく不快なこと。,散々侮辱された挙げ句、力関係のせいで一言も反論できず見下された場面。,怒りと「無力感・悔しさ」が激しく混ざり合い、腹の底で煮え滾る感情。
106,4. 怒り・不満・反発,やり場のない,やりばのない,中,感情（怒りや悲しみ）を向ける相手や出口がなく、どうしようもないこと。,不慮の事故で大会が中止になり、誰を責めることもできず拳を握りしめる場面。,特定の対象にぶつけられないため、内側に鬱積していく空虚な怒り。
107,4. 怒り・不満・反発,心外,しんがい,高,自分の思いとは全く違っていて、非常に不満で納得がいかないこと。,仲間を助けようとした善意の行動を、先生から「不正の手助け」と決めつけられた場面。,単なるショックではなく、「不当な誤解や低評価に対する強い抗議の念」。
108,4. 怒り・不満・反発,腹に据えかねる,はらにすえかねる,高,怒りを心の中に抑えつけることができなくなること。,何度も繰り返される陰湿な嫌がらせに対し、ついに堪忍袋の緒が切れる場面。,「我慢の限界を超えて爆発寸前になる」怒りの臨界点を示す慣用句。
109,4. 怒り・不満・反発,腹立たしい,はらだたしい,並,怒りを感じて不愉快であること。いらいらすること。,静かに読書をしたいのに、隣で意図的に大きな物音を立て続けられる場面。,激怒というよりは、持続的・神経に障るような不快感を伴う怒り。
110,4. 怒り・不満・反発,苦々しい,にがにがしい,中,非常に不愉快で、見聞きするのが嫌な気分であること。,勝ち誇って敗者を侮辱しているチームメイトの浅ましい姿を、横で見せつけられる場面。,怒りというより、「胸が悪くなるような不快感・嫌悪感」。
111,4. 怒り・不満・反発,忌々しい,いまいましい,中,非常に腹立たしく、癪に障る様子。,あと一歩のところでいつも邪魔に入り、計画を台無しにする宿敵の顔を思い浮かべる場面。,相手や事態を呪わしく思い、憎々しく感じる強い反発心。
112,4. 怒り・不満・反発,虫の居所が悪い,むしのいどころがわるい,中,機嫌が悪く、ちょっとしたことにも怒りやすい状態であること。,朝から嫌なことが重なり、家族の何気ない挨拶に対してもトゲのある言葉を返す場面。,一時的な気分の偏りによって、普段なら流せることにも過敏に苛立つ心理。
113,4. 怒り・不満・反発,癪に障る,しゃくにさわる,中,物事が気に入らなくて腹が立つこと。癇に障ること。,実力もないのに要領だけで世渡りし、自分をからかってくる同級生の態度を見る場面。,自尊心をチクチクと刺激され、不快感と怒りが湧き上がってくる状態。
114,4. 怒り・不満・反発,癇に障る,かんにさわる,中,ちょっとした言動が気に障って、いらだたしく腹が立つこと。,集中して勉強している最中に、隣の席でペンをカチカチ鳴らし続ける音を聞く場面。,神経が過敏になり、特定の刺激に対して我慢がならないいらだち。
115,4. 怒り・不満・反発,業を煮やす,ごうをにやす,高,思うように事が運ばず、いらいらして怒ること。,何度説明しても要領を得ない相手の態度に、ついに冷静さを失って語気を荒らげる場面。,相手の鈍さや事態の遅滞に対して「我慢しきれず怒りを表に出す」こと。
116,4. 怒り・不満・反発,唇をかむ,くちびるをかむ,中,悔しさや怒りを必死に堪えること。,不当な判定で敗北が決まった瞬間、審判の前で抗議の声を押し殺す場面。,感情を爆発させるのではなく、「激しい情動を意志の力で封じ込める」身体表現。
117,4. 怒り・不満・反発,歯ぎしりする,はぎしりする,中,悔しさや激しい怒りのあまり、奥歯を強く噛み合わせること。,ライバルに卑怯な手を使われて先を越され、自室でベッドのシーツを握りしめる場面。,無念さや強烈な悔しさを伴う怒りの身体的反応。
118,4. 怒り・不満・反発,反発,はんぱつ,並,他人の意見や力による支配に対して、反抗し従わないこと。,親から「勉強だけしていればいい」と一方的に決めつけられ、部屋に閉じこもる場面。,上からの押し付けに対する、自我の防衛からくる抵抗の心理。
119,4. 怒り・不満・反発,憤激,ふんげき,高,激しく腹を立てること。怒りで興奮すること。,長年守ってきた秘密の隠れ家を、心無い落書きで破壊されたのを発見した場面。,「憤慨」よりもさらに感情の爆発度合いが激しい状態。
120,4. 怒り・不満・反発,眉をひそめる,まゆをひそめる,中,不快に思ったり、心配したりして顔をしかめること。,公共の場で大声を上げて暴れる若者たちのマナーの悪さを、静かに見つめる場面。,怒りを露わに怒鳴るのではなく、「品性を疑うような行いに対する静かな拒絶・不快感」。
121,4. 怒り・不満・反発,憮然,ぶぜん,高,失望・落胆してどうすることもできない様子。また、腹を立てて不満そうな様子。,注意されたことに対して納得がいかず、不服そうに黙り込んでそっぽを向く場面。,【最重要誤用注意語】本来は「失望して呆然とする様」だが、入試では「不満げにムッとする様」の文脈でも頻出。
122,4. 怒り・不満・反発,猜疑心,さいぎしん,高,他人を疑い、何か裏があるのではないかと警戒する心。,以前裏切られた経験から、親切にしてくれるクラスメイトの言葉を素直に信じられない場面。,不満や恐怖から発展し、「他者を悪意あるものと決めつけて警戒する」暗い感情。
123,4. 怒り・不満・反発,口を尖らせる,くちをとがらせる,並,不満や反抗の気持ちを表情に表すこと。すねること。,母親からの正論の注意に対し、言い返せないものの納得できず横を向く場面。,子ども特有の「すね・納得のいかなさ」を視覚的に描写する表現。
124,4. 怒り・不満・反発,噛みつく,かみつく,並,激しい勢いで反論したり、食ってかかったりすること。,心配して声をかけてくれただけの友人に対し、「放っておいてくれ」と怒鳴る場面。,苛立ちや追い詰められた心理から、他者に攻撃的な態度をとること。
125,4. 怒り・不満・反発,鼻につく,はなにつく,中,言動や態度が鬱陶しく、嫌味で不快に感じられること。,自分がどれほど裕福であるかを、遠回しに自慢してくる級友の話を聞かされる場面。,強い怒りというよりは、「生理的な不快感・鼻持ちならない嫌悪感」。
126,4. 怒り・不満・反発,怒髪天を衝く,どはつてんをつく,高,激しい怒りのために、髪の毛が逆立ち天を突き刺すほどであること。,最も信頼していたパートナーが、敵と通じて全員を裏切っていたと知った瞬間。,怒りの度合いが極大であることを示す故事成語的表現。
127,4. 怒り・不満・反発,面白くない,おもしろくない,並,気に入らなくて不愉快である。満足できず不満であること。,自分より下手だった後輩が、監督から先にレギュラーに指名されて面白くない場面。,退屈（not interesting）ではなく、「プライドを傷つけられ不機嫌になる」心理。
128,4. 怒り・不満・反発,毒づく,どくづく,高,悪口や恨み言を並べ立てて、怒りや不満をぶつけること。,誰も助けてくれない雨の中、びしょ濡れで自転車を漕ぎながら一人悪態をつく場面。,鬱屈した不満を吐き出す言語行動。「悪態をつく」と同義。
129,4. 怒り・不満・反発,うんざりする,うんざりする,並,嫌なことが繰り返されたり長く続いたりして、嫌気が差し飽き飽きすること。,母親から毎日同じ小言を何時間も聞かされ、耳を塞ぎたい衝動に駆られる場面。,激しい怒りではなく、「度重なるストレスによる精神的疲労と強い拒絶反応」。
130,4. 怒り・不満・反発,煩わしい,わずらわしい,中,手間がかかったり人間関係が複雑だったりして、面倒で気が重く不快なさま。,周囲の顔色を伺いながら本音を隠して付き合わねばならないクラスの空気を嫌悪する場面。,単なる「面倒」ではなく、「精神的拘束から逃れて自由になりたい」苛立ち。
131,4. 怒り・不満・反発,恨めしい,うらめしい,中,相手の無情な仕打ちや理不尽な事態に対し、恨みに思い憎らしく感じる気持ち。,待ちに待った遠足の朝、無情にも土砂降りの雨が降り注ぐ空を睨みつける場面。,人間だけでなく「天候や運命」に対しても向けられる、悲哀を含んだ不満・抗議の念。
132,4. 怒り・不満・反発,呆れる,あきれる,並,あまりの非常識さや身勝手さ、度外れな行動に驚きあきれ果てること。,散々他人に迷惑をかけておきながら、自分の手柄のように自慢する友人の無神経さを見る場面。,「怒り」を通り越して「常識の通じなさに言葉を失い、相手にする気も失せる」感情。
133,4. 怒り・不満・反発,ふくれっ面,ふくれっつら,並,不満やすねた気持ちを露わにして、頬を膨らませた不機嫌な表情。,兄ばかりを贔屓する親の言葉に納得がいかず、口を結んでそっぽを向く子どもの場面。,子ども特有の感情表出。「言葉で論理的に反論できない悔しさ」の身体的記号。
134,4. 怒り・不満・反発,顔をしかめる,かおをしかめる,並,不快感、苦痛、嫌悪感から眉間にしわを寄せ顔を歪める身体表現。,他人の陰口で盛り上がっているグループの会話が耳に入り、思わず表情を曇らせる場面。,身体表現。「道義的な嫌悪感や生理的な不快さ」を外見で示す重要慣用句。
135,4. 怒り・不満・反発,憤懣やるかたない,ふんまんやるかたない,高,腹の底に鬱積した激しい怒りや不満をぶつける先がなく、やりきれないさま。,明らかな誤審で敗北したにもかかわらず、規約によって一切の抗議が認められない場面。,最上位校必須語。「憤懣（怒り）」＋「やるかたない（晴らしようがない）」の構造。
136,4. 怒り・不満・反発,煮え湯を飲まされる,にえゆをのまされる,高,最も信頼していた身近な相手から、手ひどい裏切りや打撃を受けること。,自分の研究ノートを預けていた共同研究者が、それを勝手に自分の名前で発表した場面。,単なる敗北ではなく、「信じていたからこその裏切りのショックと激しい憤怒」。
137,5. 不安・恐れ・動揺,おののく,おののく,高,恐怖や不安、寒さのために体が震えること。恐れること。,夜の山奥で迷子になり、遠くから獣の遠吠えが聞こえて闇に震える場面。,単なる寒さではなく、「逃れられない圧倒的な脅威に対する精神的恐怖」。
138,5. 不安・恐れ・動揺,怯える,おびえる,並,恐ろしさにビクビクすること。恐怖を感じること。,いつ怒鳴り散らすか分からない気難しい父親の足音を聞き、部屋の隅で縮こまる場面。,脅威が迫ってくる予感に対し、過敏に怯懦（きょうだ）になっている心理。
139,5. 不安・恐れ・動揺,固唾をのむ,かたずをのむ,中,事の成り行きを緊張して見守り、息を止めるようにすること。,最終バッターの打球がフェンス際まで高々と上がり、捕球されるか固唾をのむ場面。,不安・緊張・期待が極限に達し、「身体の呼吸すら止まる」瞬間的集中。
140,5. 不安・恐れ・動揺,息をのむ,いきをのむ,中,驚きや恐怖、感動などで思わず息を止めること。,暗闇から突然怪しい人影が目の前に現れ、恐怖のあまり立ちすくむ場面。,驚きの生理反応。恐怖だけでなく「息をのむ美しさ（感動）」にも使われる。
141,5. 不安・恐れ・動揺,胸騒ぎ,むなさわぎ,中,不吉なことが起こりそうだと、心がざわつくこと。,留守番中、遠くでけたたましい消防車のサイレンが鳴り止まず、落ち着かない場面。,根拠のない直感的な不安。「虫の報せ」的な不気味さを指す。
142,5. 不安・恐れ・動揺,案じる,あんじる,中,心配する。気遣うこと。,吹雪の中、予定の時間を過ぎても下山してこない兄たちの安否を心配する場面。,自分の恐怖ではなく、「他者の無事や事態の先行きを気遣う」利他的な不安。
143,5. 不安・恐れ・動揺,心もとない,こころもとない,中,頼りなく不安である。事の成り行きが心配であること。,わずかな小銭と古い懐中電灯だけを渡され、夜の見回りを任された場面。,自身の能力や装備、支えが不十分で「頼りがいがなく心細い」状態。
144,5. 不安・恐れ・動揺,焦燥感,しょうそうかん,高,思うように事が進まず、焦っていらだつ気持ち。,試験終了のチャイムまであと五分なのに、記述問題が白紙のままでペンが震える場面。,単なる不安ではなく、「時間的切迫や無力さから生じるイライラした焦り」。
145,5. 不安・恐れ・動揺,気をもむ,きをもむ,中,あれこれと心配して、落ち着かない気持ちでいること。,体調不良の主将が出場できるかどうか、診断結果の連絡を控室で待ち続ける場面。,結果が出るまでの間、「気を揉みほぐすように絶えずヤキモキする」持続的不安。
146,5. 不安・恐れ・動揺,気が気でない,きがきでない,中,心配でたまらず、心が落ち着かないこと。,自分が隠した壊れた花瓶を、母親が掃除しながら片付けようとしている場面。,露見や破滅の危機が目の前に迫り、「正気を保っていられないほどの極度の動揺」。
147,5. 不安・恐れ・動揺,うろたえる,うろたえる,中,予期しない出来事に直面し、どうしてよいか分からず取り乱すこと。,隠していた秘密のノートを目の前で広げられ、頭が真っ白になって言い訳を探す場面。,心の準備がない状態でのパニック。行動や言動がしどろもどろになる様。
148,5. 不安・恐れ・動揺,動揺,どうよう,並,心が激しく揺れ動くこと。落ち着きを失うこと。,親友から「お前の嘘を全部知っている」と突然告げられ、平静を装えない場面。,心理の平静が破られること全般を指す基本概念語。選択肢の頻出ワード。
149,5. 不安・恐れ・動揺,狼狽,ろうばい,高,不意の出来事に慌てふためいて、適切な判断を失うこと。,カバンの中にあったはずの預かり金が見当たらず、中身を床にぶちまけて探す場面。,「うろたえる」の漢語表現。冷静さを完全に失って狂乱する度合いが高い。
150,5. 不安・恐れ・動揺,茫然自失,ぼうぜんじしつ,高,我を忘れてぼんやりすること。大きなショックで気が抜けること。,全てを賭けて挑んだ最後の試合で惨敗し、スコアボードを見つめたまま動けない場面。,悲しみや驚愕のあまり、「意識や気力が一時的に抜け殻のようになる」こと。
151,5. 不安・恐れ・動揺,呆然とする,ぼうぜんとする,中,驚きや呆れ、ショックのために、口を開けたまま何も考えられない様子。,目の前で大切な模型が床に落ちて粉々に砕け散り、声も出せずに立ち尽くす場面。,思考停止状態を表す。「憮然（怒り・不満）」との混同に厳重警戒。
152,5. 不安・恐れ・動揺,慄然とする,りつぜんとする,高,恐ろしさに身の毛がよだつさま。ぞっとすること。,自分がふざけて置いた石のせいで、あわや大列車事故が起きるところだったと知った場面。,自身の犯した罪の重さや事態の深刻さに気づいた瞬間の「凍りつくような恐怖」。
153,5. 不安・恐れ・動揺,鳥肌が立つ,とりはだがたつ,並,恐怖、寒さ、あるいは強い感動のために、皮膚にぶつぶつができること。,深夜の誰もいないはずの理科室から、ピアノの音がコツコツと響いてきた場面。,生理現象を通じた感情描写。文脈によって「恐怖」か「感動」かを見分ける。
154,5. 不安・恐れ・動揺,肝を冷やす,きもをひやす,中,驚きや恐怖で、ひやりとすること。危ない目に遭ってぞっとすること。,飛び出してきた車と自転車がすれすれで交差し、間一髪で衝突を免れた場面。,危機一髪の場面を回避した直後の「冷や汗が出るような恐怖と安堵の交錯」。
155,5. 不安・恐れ・動揺,息を殺す,いきをころす,中,息の音も立てないようにして、じっと静かにしていること。,鬼ごっこの最中、すぐ目の前を探している鬼に見つからないよう物陰に潜む場面。,隠蔽や警戒のための意図的な沈黙。「息をのむ（受動的驚愕）」との違いに注意。
156,5. 不安・恐れ・動揺,薄氷を踏む思い,はくひょうをふむおもい,高,非常に危険な状態に臨んで、恐る恐る事を行うような不安で危うい気持ち。,嘘がいつバレるか分からない状況で、綱渡りのようなアリバイ工作を続ける場面。,いつ割れるか分からない薄い氷の上を歩くような「持続的・極限の緊張感」。
157,5. 不安・恐れ・動揺,疑心暗鬼,ぎしんあんき,高,疑う心があると、何でもないものまで恐ろしく見えてくること。,クラスで盗難が起き、誰もが隣の席の友人を疑いの目で見て関係が冷え込む場面。,心の弱さが生み出す根拠のない恐怖・不信感。故事成語としても頻出。
158,5. 不安・恐れ・動揺,杞憂,きゆう,高,余計な心配。取り越し苦労のこと。,「もし明日地球が滅びたらどうしよう」と悩んでいたが、何事もなく朝を迎えた場面。,故事成語。「心配したが、結果的に無駄な取り越し苦労に終わった」文脈で使用。
159,5. 不安・恐れ・動揺,おろおろする,おろおろする,並,どうしてよいか分からず、うろたえ取り乱す様子。,妹が突然高熱を出して倒れ、両親も不在の中でどう対処すればいいか迷う場面。,知識や経験のなさから「右往左往して冷静さを欠く」幼い対応を示す。
160,5. 不安・恐れ・動揺,身を縮める,みをちぢめる,並,恐怖や寒さ、恐縮のために、体を小さく丸めること。,雷が激しく鳴り響く中、毛布を頭からかぶって部屋の片隅で震えている場面。,恐怖から自己を防衛しようとする本能的な身体反応の描写。
161,5. 不安・恐れ・動揺,目を白黒させる,めをしろくろさせる,中,予想外の事態に驚き慌てて、どうしてよいか分からなくなる様子。,突然外国人に英語でまくし立てられ、助けを求めて視線を泳がせる場面。,動揺のあまり平静な判断力を失っている滑稽味やパニックを表す慣用句。
162,5. 不安・恐れ・動揺,針の筵,はりのむしろ,高,周囲の非難や視線が突き刺さり、その場にいるのが極めて辛く苦痛な状態。,カンニングが露見した後、教室中の冷ややかな視線を浴びながら授業を受ける場面。,恐怖・罪悪感・気まずさが極限化し、精神的に逃げ場がない苛酷な状況。
163,5. 不安・恐れ・動揺,心細い,こころぼそい,並,頼りになるものや助けが周囲になく、一人きりで不安で寂しい気持ち。,初めての一人旅で夕暮れの無人駅に降り立ち、誰の姿も見えない心細さに胸が詰まる場面。,「怖い（恐怖）」ではなく、「支え（拠り所）がないことによる頼りなさと寂しさ」。超頻出。
164,5. 不安・恐れ・動揺,おどおどする,おどおどする,並,不安や恐怖、自信のなさから落ち着かず、ビクビクして挙動不審になる様子。,厳しい試験官の前に座らされ、声が上ずり視線を定まらず手足を震わせる場面。,身体反応・態度描写。「気後れ」が外見的な挙動として顕著に出ている状態。
165,5. 不安・恐れ・動揺,恐る恐る,おそるおそる,並,危険や失敗、叱責を恐れ、警戒しながら慎重に事を行うさま。,怒り狂っている猛犬の横を、起こさないように足音を忍ばせて通り過ぎる場面。,動作を修飾する副詞。「恐怖を抱えながらも行動せざるを得ない」心理状態の描写。
166,5. 不安・恐れ・動揺,気もそぞろ,きもそぞろ,高,他の重大な関心事や心配事に心が奪われ、目の前のことに集中できないこと。,家族の容態の知らせを待つ間、本を開いても文字が全く頭に入ってこない場面。,「うわの空」と同義だが、より「情緒的な動揺や不安によって心が落ち着かない」ニュアンス。
167,5. 不安・恐れ・動揺,いてもたってもいられない,いてもたってもいられない,中,心配や焦燥、強い衝動のあまり、じっとその場に留まっていられない心理。,友人が一人で危険な廃屋に向かったと聞き、制止を振り切って部屋を飛び出す場面。,「いたたまれない（恥・気まずさで逃げたい）」との混同に注意。「焦りから行動を起こさずにいられない」。
168,5. 不安・恐れ・動揺,怯む,ひるむ,中,相手の圧倒的な迫力や危険を前にして、一瞬恐怖を感じ気力がくじけること。,巨漢の相手選手が猛スピードで突進してくるのを見て、思わず足が止まってしまう場面。,「しりごみする（持続的逡巡）」に対し、「ひるむ」は「一瞬の衝撃で気勢を挫かれる」動的心理。
169,5. 不安・恐れ・動揺,身構える,みがまえる,並,敵の攻撃や予期せぬ衝撃を警戒して、緊張した姿勢・心の準備をとること。,父親が険しい顔で部屋に入ってきた瞬間、叱責を予期して背筋を硬直させる場面。,身体表現。「危険を察知して自己を防衛しようとする緊張状態」を象徴。
170,5. 不安・恐れ・動揺,肝をつぶす,きもをつぶす,中,あまりの予期せぬ驚きや恐怖に、正気を失うほど激しくびっくりすること。,暗闇の中から突然目の前に巨大な影が飛び出してきて、悲鳴をあげて腰を抜かす場面。,「肝を冷やす（事後の安堵混じりの冷汗）」と異なり、「その瞬間の極限の驚愕と恐怖」。
171,6. 哀しみ・喪失感・後悔,ほぞをかむ,ほぞをかむ,高,どうにもならないことを、後から深く悔やむこと。後悔すること。,あの時素直に謝っていれば親友を失わずに済んだのに、と卒業後に独り悔恨する場面。,「臍（へそ）を噛もうとしても届かない」ことから。取り返しのつかない強い後悔。
172,6. 哀しみ・喪失感・後悔,打ちひしがれる,うちひしがれる,高,激しい打撃や深い悲しみのために、気力を完全に失い立ち直れなくなること。,長年連れ添った愛犬が亡くなり、食事も喉を通らず暗い部屋でうずくまる場面。,単なる落ち込みではなく、「精神的骨折とでも言うべき再起不能な精神状態」。
173,6. 哀しみ・喪失感・後悔,感傷,かんしょう,高,感情を動かされ、涙もろくなったり物悲しくなったりすること（センチメンタル）。,引っ越し前夜、空っぽになった自分の部屋を見渡し、思い出に浸って涙ぐむ場面。,絶望的な悲しみではなく、「過去の美しさを懐かしむ、甘美さを帯びた物悲しさ」。
174,6. 哀しみ・喪失感・後悔,諦念,ていねん,高,道理を悟って諦めること。どうにもならない現実を静かに受け入れる心。,難病で走れなくなった元陸上選手が、車椅子から後輩たちの走りを穏やかに見つめる場面。,単なる「投げやりな諦め」ではなく、「真理を悟った上での静かな境地」を示す最難関語。
175,6. 哀しみ・喪失感・後悔,やるせない,やるせない,高,思いを晴らす方法がなく、切なくて苦しいこと。胸が締め付けられる思い。,努力を重ねてきた病弱な友人が、当日の体調不良で受験すらできなかったと知る場面。,怒りや悲しみの持って行き場がなく、「胸の奥が重く鬱屈して晴れない」辛さ。
176,6. 哀しみ・喪失感・後悔,切ない,せつない,中,胸が締め付けられるように悲しく、やるせない気持ち。恋しさや寂しさ。,夕暮れ時、遠くへ転校してしまう親友の乗った電車を一人で見送る場面。,「悲しい」と混同しやすいが、「愛着や名残惜しさがあるからこそ胸が痛む」心理。
177,6. 哀しみ・喪失感・後悔,虚しい,むなしい,中,空っぽで中身がない。甲斐がない。無駄に思えてやりきれないこと。,一生懸命に作った砂の城が、一瞬の高波で跡形もなく流されてしまった場面。,努力と結果が結びつかず、「すべてが無意味に思えて心が空洞化する」感覚。
178,6. 哀しみ・喪失感・後悔,喪失感,そうしつかん,中,大切なものを失ったことによって生じる、心にぽっかり穴が開いたような寂しさ。,いつも厳しく指導してくれた祖父が亡くなり、道標を失って放心する場面。,「悲しみ」の一歩先にある、「自己の一部が欠落してしまったような空虚感」。
179,6. 哀しみ・喪失感・後悔,哀愁,あいしゅう,高,なんとなく悲しい気持ち。寂しく物悲しい風情。,秋の枯葉が舞い散る公園のベンチで、一人背中を丸めて座る老人の後ろ姿を見る場面。,主人公の内面だけでなく、情景や人物の醸し出す「物悲しい哀愁」として出題。
180,6. 哀しみ・喪失感・後悔,痛恨,つうこん,高,取り返しのつかない過ちなどを、骨身に染みて非常に悔やむこと。,決勝戦の最終回、自分のたった一つの送球ミスでサヨナラ負けを喫した場面。,「痛恨の極み」。単なる後悔を超えた、「一生消えない傷のような深い悔悟」。
181,6. 哀しみ・喪失感・後悔,悔恨,かいこん,高,自分の過去の過ちを悔やみ、残念に思うこと。,若い頃に母に投げつけた冷たい言葉を、母の遺品を整理しながら思い出す場面。,「後悔」の改まった表現。大人びた回想シーンにおいて頻出する重要語。
182,6. 哀しみ・喪失感・後悔,意気消沈,いきしょうちん,中,気力が衰えて、すっかり元気をなくしてしまうこと。,レギュラーから外されたショックで、放課後の自主練習にも顔を出さず帰宅する場面。,「肩を落とす」などの動作と連動する、気力の完全な喪失状態を表す四字熟語。
183,6. 哀しみ・喪失感・後悔,悄然とする,しょうぜんとする,高,元気がなく、しょげている様子。悲しみに沈んでいるさま。,厳しい叱責を受けた後、誰とも口をきかずにトボトボと一人で廊下を歩く場面。,「悄然とした後ろ姿」のように、外見に滲み出る落胆の様子を描く副詞的表現。
184,6. 哀しみ・喪失感・後悔,肩を落とす,かたをおとす,並,落胆して、がっかりすること。,合格発表の掲示板に自分の番号がないのを確認し、深くため息をつく場面。,身体の姿勢で「期待が裏切られた時の失望・落胆」を象徴する基本慣用句。
185,6. 哀しみ・喪失感・後悔,胸を痛める,むねをいためる,並,心配したり、悲しんだりして心を苦しめること。,被災地で家族を探し続ける人々のニュース映像を、テレビの前で祈るように見つめる場面。,他者の不幸や悲惨な現実に共感し、「自分の心までもが痛烈に痛む」同情と悲しみ。
186,6. 哀しみ・喪失感・後悔,涙を呑む,なみだをのむ,中,悔しさや悲しさを必死にこらえて耐えること。,実力は互角だったが、抽選という不条理なルールで敗退を受け入れざるを得ない場面。,泣き叫ぶのではなく、「不本意な結果を歯を食いしばって甘受する」成熟した態度。
187,6. 哀しみ・喪失感・後悔,未練,みれん,中,諦めきれず、心残りで執着する気持ち。,捨てなければならないと分かっているのに、昔の仲間との写真をどうしても捨てられない場面。,過去の栄光や人間関係を断ち切れない「心の引っかかり」。
188,6. 哀しみ・喪失感・後悔,後悔先に立たず,こうかいさきにたたず,中,事の済んだ後に悔やんでも、取り返しがつかないということ。,怒りに任せて絶交を告げてしまった後で、二度と口をきいてくれなくなった親友を想う場面。,ことわざ。記述の「なぜその行動をとったのか」の背景説明で引用される。
189,6. 哀しみ・喪失感・後悔,愁傷,しゅうしょう,高,悲嘆に暮れること。身内の死などを深く悲しむこと。,恩師の葬儀に参列し、遺影の前で涙が止まらない場面（「ご愁傷様」の語源）。,日常語の「気の毒」を超えた、死別などに際して使われる厳粛な哀悼の心情。
190,6. 哀しみ・喪失感・後悔,嘆息,たんそく,高,深いため息をつくこと。失望や悲しみに沈んで嘆くこと。,荒れ果てた故郷の村の変わり果てた姿を目にして、重いため息をつく場面。,生理現象（ため息）を通じて、深い悲嘆や失望の重さを表現する語。
191,6. 哀しみ・喪失感・後悔,悲愴感,ひそうかん,高,悲壮で胸が締め付けられるような、痛々しい雰囲気や気持ち。,負ければ全員引退となる試合を前に、全員が鬼気迫る表情でグラウンドに立つ場面。,「悲哀」と「覚悟（悲壮な決意）」が融合した、極めて緊張度の高い感情。
192,6. 哀しみ・喪失感・後悔,身を切られるよう,みをきられるよう,高,寒さや悲しみ、辛さが骨身に染みるほど激しいこと。,長年守ってきた店を自らの代で畳む契約書に判を押す瞬間の、断腸の苦しみ。,肉体的な激痛に匹敵するほどの「精神的ショック・悲哀」を比喩した表現。
193,6. 哀しみ・喪失感・後悔,断腸の思い,だんちょうのおもい,高,はらわた（腸）がちぎれるほど、耐え難く悲しい思い。,飢饉の中で、泣く泣く子どもを他家に養子に出さざるを得ない親の別れの場面。,故事成語由来。選択肢の「これ以上ない究極の悲しみ・苦渋の決断」を表す。
194,6. 哀しみ・喪失感・後悔,目頭が熱くなる,めがしらがあつくなる,中,感動や悲しみ、悔しさのために涙が出そうになること。,寡黙だった父が、自分の旅立ちの日にそっと応援の手紙を握らせてくれた場面。,涙がこぼれ落ちる直前の生理反応。悲哀だけでなく「感謝・感動」の文脈でも頻出。
195,6. 哀しみ・喪失感・後悔,放心,ほうしん,高,心を奪われてぼんやりすること。気力を失い気が抜けること。,全ての力を出し切ったコンクールの演奏直後、拍手も耳に入らず鍵盤を見つめる場面。,激しい情動の後に訪れる「心神喪失・無の境地」。茫然自失に近い。
196,6. 哀しみ・喪失感・後悔,哀惜,あいせき,高,人の死や別れを、深く悲しみ惜しむこと。,類まれな才能を持ちながら若くして散ったライバルの死を、墓前で悼む場面。,単に悲しむだけでなく、「その存在の価値の大きさを惜しんで嘆く」感情。
